# Nmap 7.99 scan initiated Sat Aug 22 23:08:42 2026 as: /usr/lib/nmap/nmap -sU --top-ports 20 -e eth1 -oN /home/kali/CyberLab/Task3/nmap/14-target-udp-top20.txt 192.168.19.129
Nmap scan report for 192.168.19.129
Host is up (0.0010s latency).

PORT      STATE         SERVICE
53/udp    open          domain
67/udp    closed        dhcps
68/udp    open|filtered dhcpc
69/udp    open|filtered tftp
123/udp   closed        ntp
135/udp   closed        msrpc
137/udp   open          netbios-ns
138/udp   open|filtered netbios-dgm
139/udp   closed        netbios-ssn
161/udp   closed        snmp
162/udp   open|filtered snmptrap
445/udp   closed        microsoft-ds
500/udp   open|filtered isakmp
514/udp   closed        syslog
520/udp   closed        route
631/udp   closed        ipp
1434/udp  open|filtered ms-sql-m
1900/udp  closed        upnp
4500/udp  closed        nat-t-ike
49152/udp open|filtered unknown
MAC Address: 00:0C:29:FA:DD:34 (VMware)

# Nmap done at Sat Aug 22 23:08:53 2026 -- 1 IP address (1 host up) scanned in 11.15 seconds
